店名,ジャンル,食べログ,徒歩距離,コメント,テイクアウト,宝田が行った,カードNG(あれば),インボイス可否
トンカツ ツキウマ 神山町店,とんかつ,https://tabelog.com/tokyo/A1303/A130301/13257413/,中(3~8分程度),うまい ただ胃はもたれる 2000円はオーバーキル,TRUE,TRUE,,
十割蕎麦 嵯峨谷 渋谷東急本店前店 ,蕎麦,https://tabelog.com/tokyo/A1303/A130301/13134451/,中(3~8分程度),一人用 サブスクがある,FALSE,TRUE,,
KINTAN,焼肉,https://tabelog.com/tokyo/A1303/A130301/13240449/,中(3~8分程度),焼肉の王道 PARCOの中,FALSE,TRUE,,
TO THE HERBS 渋谷店,イタリアン/カフェランチ,https://tabelog.com/tokyo/A1303/A130301/13303494/,中(3~8分程度),宝田が受験生のときここの上に泊まりました 懐かしいね,FALSE,TRUE,,
KINKA sushi bar izakaya 渋谷 ,寿司,https://tabelog.com/tokyo/A1303/A130301/13199924/,中(3~8分程度),夜ちょい高いかも トイレが隠し扉みたい,FALSE,TRUE,,
春秋 渋谷文化村通,和食,https://tabelog.com/tokyo/A1303/A130301/13003342/,中(3~8分程度),ABTの近くで和食といえばここ 予約可能,FALSE,TRUE,,
已己巳己,ラーメン,https://tabelog.com/tokyo/A1303/A130301/13207901/dtlmenu/photo/,中(3~8分程度),あっさりながらうまい　入り口が地下で一瞬やってるか不安になる 会食向けではない,FALSE,TRUE,,
しゃぶ禅,しゃぶしゃぶ,https://tabelog.com/tokyo/A1303/A130301/13007431/,中(3~8分程度),ザ・「良いしゃぶしゃぶの店」雰囲気料亭っぽい,FALSE,TRUE,,
biodinamico,イタリアン,https://tabelog.com/tokyo/A1303/A130301/13096558/dtlmenu/lunch/,中(3~8分程度),おしゃれ 単価ちょい高め(2000円にはおさまる) 辛いトマトパスタ,FALSE,TRUE,,
瑞兆,かつ丼,https://tabelog.com/tokyo/A1303/A130301/13161530/,中(3~8分程度),卵ダブル←有償オプションになりました🥺,FALSE,TRUE,,
魚力,海鮮,https://tabelog.com/tokyo/A1318/A131810/13012554/dtlmenu/lunch/,中(3~8分程度),札の裏の番号が当たると一品サービス,TRUE,TRUE,,
かにチャーハンの店,中華,https://tabelog.com/tokyo/A1303/A130301/13005407/,中(3~8分程度),,FALSE,TRUE,,
